Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
05;66;02;33;01;376;Agrícola Centro de Evaluación Rosario Ltda. - Técnicas de Riego Deficitario Controlado en Kiwi (30419375-0);53604;0
05;66;02;33;01;377;Fundación para el Desarrollo Frutícola - Desarrollo Systems Approach Exportación Arándanos a EEUU (30418873-0);35847;0
05;66;02;33;01;379;Universidad Central - Emprendimiento Turístico Asociado al Vino (30418925-0);76706;0
05;66;02;33;01;386;Fundación CSIRO-Chile Research- Transferencia Plan de Gestión Integrada Cuenca Rapel (30427997-0);60819;0
05;66;02;33;01;387;Universidad de Concepción-Transferencia Gestión de Información de Recursos Hídricos (30431873-0);73465;0
05;66;02;33;01;389;Universidad Santo Tomás-Transferencia Innóvate O'Higgins: Red de Difusión (30428001-0);16215;0
05;66;02;33;01;390;Universidad Santo Tomás-Transferencia Capital Humano para la Ruta Textil (30428230-0);53840;0
05;66;02;33;01;391;Centro de Información de Recursos Naturales (CIREN)-Transferencia Ampliación SIT R para Estructurar Red de Difusión (30429824-0);54392;0
05;66;02;33;01;392;Centro de Información de Recursos Naturales (CIREN)-Transferencia Sistema Monitoreo Territorial Hortícola Regional (30428231-0);138176;0
05;66;02;33;01;393;Instituto de Investigaciones Agropecuarias (INIA)-Transferencia Red de Gestión Tecnológica para el Agro (30428234-0);61065;0
05;66;02;33;01;394;Pontificia Universidad Católica de Chile-Transferencia Integración de la Biodiversidad a la Fruticultura (30428004-0);61866;0
05;66;02;33;01;395;Universidad Central de Chile-Transferencia Los Lingues, Patrimonio Turístico Competitivo (30429578-0);75512;0
05;66;02;33;01;396;Universidad Central de Chile-Transferencia Geoturismo en la Cordillera del Libertador (30429774-0);75350;0
05;66;02;33;01;397;Universidad Central de Chile-Transferencia Comercialización Productos Gourmet en EEUU (30429779-0);64707;0
05;66;02;33;01;398;Universidad Academia Humanismo Cristiano-Transferencia Atractivos Turísticos Aledaños ZOIT Lago Rapel (30429777-0);98953;0
05;66;02;33;01;399;Agrícola Centro de Evaluación Rosario Limitada-Transferencia Evaluación de Variedades de Hortalizas Exportables (30429727-0);38459;0
05;66;02;33;03;;A Otras Entidades Públicas;18112711;0
05;66;02;33;03;100;Municipalidades (Programa Mejoramiento de Barrios);5141934;0
05;66;02;33;03;125;Municipalidades (Fondo Regional de Iniciativa Local);6695000;0
05;66;02;33;03;150;Municipalidades;882710;0
05;66;02;33;03;211;Comisión Nacional de Riego - Fomento al Riego Regional (30132861-0);559290;0
05;66;02;33;03;212;Comisión Nacional de Riego - Concurso Regional Ley 18.450 Obras Acumulación Secano (30133089-0);392453;0
05;66;02;33;03;226;Subsecretaría de Minería-Fomento a la pequeña minería (30379449-0);195891;0
05;66;02;33;03;266;Subsecretaría de Medio Ambiente - Transferencia Recambio Calefactores a Leña 17 Comunas VI Región.;17607;0
05;66;02;33;03;355;Universidad de Chile - Innovación para el Control de Heladas;44730;0
05;66;02;33;03;999;Provisión FIC (Sin Distribuir);4183096;0
05;66;02;34;;;SERVICIO DE LA DEUDA;1000;0
05;66;02;34;07;;Deuda Flotante;1000;0
