Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
50;01;02;24;;;TRANSFERENCIAS CORRIENTES;1055589156;0
50;01;02;24;01;;Al Sector Privado;959441872;0
50;01;02;24;01;002;Subvenciones;3189697;0
50;01;02;24;01;003;Bonificación Región XII y la Antártica Chilena, y Subsidio  Isla de Pascua;23230753;0
50;01;02;24;01;005;Fondo Único de Prestaciones Familiares y Subsidios de Cesantía;522537829;0
50;01;02;24;01;006;Subsidios de Cesantía Art. 69 D.F.L. (T.y P.S.) N° 150, de 1981;10000;0
50;01;02;24;01;013;Fondo Nacional de Subsidio Familiar;269512508;0
50;01;02;24;01;014;Subsidio Agua Potable Art.1° Ley N° 18.778;71791950;0
50;01;02;24;01;019;Bonificación a la Contratación de Mano de Obra Ley N° 19.853;68728682;0
50;01;02;24;01;020;Subsidio Tarifas Eléctricas Art.151 D.F.L. (Economía) N° 4,  de 2006;10;0
50;01;02;24;01;023;Beneficio Ley N° 20.330 para Deudores Crédito Universitario, Leyes N° 19.287 y 20.027;440433;0
50;01;02;24;01;024;Aplicación Ley N° 20.765,  Art. 3° N° 6)  MEPCO;10;0
50;01;02;24;02;;Al Gobierno Central;96147284;0
50;01;02;24;02;001;Fondo Único de Prestaciones Familiares y Subsidios de Cesantía;96147284;0
50;01;02;33;;;TRANSFERENCIAS DE CAPITAL;62375918;0
50;01;02;33;01;;Al Sector Privado;62375918;0
50;01;02;33;01;001;Bonificación por Inversiones de Riego y Drenaje Ley N° 18.450;53160541;0
50;01;02;33;01;002;Fondo Fomento y Desarrollo de las Regiones Extremas;2835627;0
50;01;02;33;01;003;Bonificación Forestal D.L. N° 701, de 1974;176751;0
50;01;02;33;01;029;Bosque Nativo Ley N° 20.283;1422599;0
50;01;02;33;01;030;Otros Subsidios;4780400;0
