Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
14;01;03;06;;;RENTAS DE LA PROPIEDAD;1804620;0
14;01;03;09;;;APORTE FISCAL;974842;0
14;01;03;09;01;;Libre;974842;0
14;01;03;21;;;GASTOS EN PERSONAL;1364127;0
14;01;03;22;;;BIENES Y SERVICIOS DE CONSUMO;466637;0
14;01;03;24;;;TRANSFERENCIAS CORRIENTES;941823;0
14;01;03;24;01;;Al Sector Privado;941823;0
14;01;03;24;01;007;Regularización Rezago de la Pequeña Propiedad Raíz;941823;0
14;01;03;29;;;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;6875;0
14;01;03;29;04;;Mobiliario y Otros;3167;0
14;01;03;29;06;;Equipos Informáticos;3708;0
